,Corrugation Amplitude,Wavelength,Reynolds Number,Nusselt Number
332,0.135,6.0,130.0,9.3119
333,0.135,6.0,140.0,9.5648
334,0.135,6.0,150.0,9.8079
335,0.14,1.0,60.0,5.561
336,0.14,1.0,70.0,5.8816
337,0.14,1.0,80.0,6.1834
338,0.14,1.0,90.0,6.4714
339,0.14,1.0,100.0,6.7494
340,0.14,1.5,60.0,6.2243
341,0.14,1.5,70.0,6.4824
342,0.14,1.5,80.0,6.7212
343,0.14,1.5,90.0,6.9554
344,0.14,1.5,100.0,7.192
345,0.14,2.0,60.0,6.7972
346,0.14,2.0,70.0,7.1473
347,0.14,2.0,80.0,7.4625
348,0.14,2.0,90.0,7.7499
349,0.14,2.0,100.0,8.0139
350,0.14,3.0,60.0,6.9991
351,0.14,3.0,70.0,7.3774
352,0.14,3.0,80.0,7.7235
353,0.14,3.0,90.0,8.0435
354,0.14,3.0,100.0,8.3428
355,0.14,6.0,60.0,7.1085
356,0.14,6.0,70.0,7.4951
357,0.14,6.0,80.0,7.8486
358,0.14,6.0,90.0,8.176
359,0.14,6.0,100.0,8.4827
360,0.14,6.0,110.0,8.7731
361,0.14,6.0,120.0,9.0488
362,0.14,6.0,130.0,9.3118
363,0.14,6.0,140.0,9.5647
364,0.14,6.0,150.0,9.8087
365,0.145,1.0,60.0,5.5214
366,0.145,1.0,70.0,5.8416
372,0.145,1.5,80.0,6.6692
373,0.145,1.5,90.0,6.9102
374,0.145,1.5,100.0,7.1533
375,0.145,3.0,60.0,6.9886
376,0.145,3.0,70.0,7.3668
377,0.145,3.0,80.0,7.7118
378,0.145,3.0,90.0,8.0308
379,0.145,3.0,100.0,8.329
380,0.145,6.0,60.0,7.1059
381,0.145,6.0,70.0,7.4918
382,0.145,6.0,80.0,7.845
383,0.145,6.0,90.0,8.1726
384,0.145,6.0,100.0,8.4795
385,0.145,6.0,110.0,8.7692
386,0.145,6.0,120.0,9.0446
387,0.145,6.0,130.0,9.3072
388,0.145,6.0,140.0,9.5596
389,0.145,6.0,150.0,9.802999999999999
390,0.15,1.0,60.0,5.4824
391,0.15,1.0,70.0,5.8035
392,0.15,1.0,80.0,6.1078
393,0.15,1.0,90.0,6.4002
394,0.15,1.0,100.0,6.6845
